Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,086282,2013,05,8.0,Y
IDCJAC0004,086282,2013,06,5.8,Y
IDCJAC0004,086282,2013,07,7.0,Y
IDCJAC0004,086282,2013,08,7.2,Y
IDCJAC0004,086282,2013,09,9.1,Y
IDCJAC0004,086282,2013,10,8.8,Y
IDCJAC0004,086282,2013,11,10.2,Y
IDCJAC0004,086282,2013,12,11.9,Y
IDCJAC0004,086282,2014,01,15.2,Y
IDCJAC0004,086282,2014,02,14.3,Y
IDCJAC0004,086282,2014,03,13.6,Y
IDCJAC0004,086282,2014,04,11.6,Y
IDCJAC0004,086282,2014,05,9.5,Y
IDCJAC0004,086282,2014,06,8.0,Y
IDCJAC0004,086282,2014,07,6.4,Y
IDCJAC0004,086282,2014,08,5.8,Y
IDCJAC0004,086282,2014,09,7.4,Y
IDCJAC0004,086282,2014,10,9.1,Y
IDCJAC0004,086282,2014,11,10.6,Y
IDCJAC0004,086282,2014,12,12.8,Y
IDCJAC0004,086282,2015,01,14.0,Y
IDCJAC0004,086282,2015,02,15.5,Y
IDCJAC0004,086282,2015,03,11.1,Y
IDCJAC0004,086282,2015,04,8.9,Y
IDCJAC0004,086282,2015,05,8.2,Y
IDCJAC0004,086282,2015,06,5.7,Y
IDCJAC0004,086282,2015,07,5.1,Y
IDCJAC0004,086282,2015,08,6.3,Y
IDCJAC0004,086282,2015,09,6.8,Y
IDCJAC0004,086282,2015,10,10.7,Y
IDCJAC0004,086282,2015,11,11.1,Y
IDCJAC0004,086282,2015,12,13.2,Y
IDCJAC0004,086282,2016,01,15.4,Y
IDCJAC0004,086282,2016,02,14.9,Y
IDCJAC0004,086282,2016,03,14.3,Y
IDCJAC0004,086282,2016,04,11.9,Y
IDCJAC0004,086282,2016,05,9.7,Y
IDCJAC0004,086282,2016,06,6.5,Y
IDCJAC0004,086282,2016,07,6.8,Y
IDCJAC0004,086282,2016,08,6.4,Y
IDCJAC0004,086282,2016,09,8.2,Y
IDCJAC0004,086282,2016,10,7.9,Y
IDCJAC0004,086282,2016,11,9.6,Y
IDCJAC0004,086282,2016,12,12.7,Y
IDCJAC0004,086282,2017,01,14.7,Y
IDCJAC0004,086282,2017,02,12.9,Y
IDCJAC0004,086282,2017,03,14.4,Y
IDCJAC0004,086282,2017,04,10.9,Y
IDCJAC0004,086282,2017,05,7.5,Y
IDCJAC0004,086282,2017,06,5.4,Y
IDCJAC0004,086282,2017,07,4.8,Y
IDCJAC0004,086282,2017,08,5.4,Y
IDCJAC0004,086282,2017,09,7.0,Y
IDCJAC0004,086282,2017,10,8.9,Y
IDCJAC0004,086282,2017,11,12.8,Y
IDCJAC0004,086282,2017,12,13.3,Y
IDCJAC0004,086282,2018,01,15.5,Y
IDCJAC0004,086282,2018,02,14.5,Y
IDCJAC0004,086282,2018,03,12.8,Y
